game_id,game_name
0,Alien Swarm
1,Cities Skylines
2,Deus Ex Human Revolution
3,Portal 2
4,Age of Empires II HD Edition
5,Banished
6,Call of Duty Black Ops
7,Call of Duty Black Ops - Multiplayer
8,Call of Duty Modern Warfare 2
9,Call of Duty Modern Warfare 2 - Multiplayer
10,Call of Duty Modern Warfare 3
11,Call of Duty Modern Warfare 3 - Multiplayer
12,Call of Duty World at War
13,Half-Life
14,Rise of Nations Extended Edition
15,The Stanley Parable
16,Thief Deadly Shadows
17,Total War ATTILA
18,Worms Armageddon
19,Alan Wake
20,Borderlands 2
21,Far Cry 3
22,Max Payne 3
23,Portal
24,The Walking Dead
25,Torchlight II
26,XCOM Enemy Unknown
27,Half-Life 2
28,7 Days to Die
29,ARK Survival Evolved
30,Age of Empires III Complete Collection
31,Age of Wonders III
32,Alpha Protocol
33,Amnesia A Machine for Pigs
34,Amnesia The Dark Descent
35,Awesomenauts
36,Batman Arkham Origins
37,BattleBlock Theater
38,Battlefield Bad Company 2
39,BioShock Infinite
40,Borderlands
41,Broken Age
42,Brothers - A Tale of Two Sons
43,Brtal Legend
44,Bulletstorm
45,Call of Juarez Gunslinger
46,Castle Crashers
47,Cave Story+
48,Chivalry Medieval Warfare
49,Crusader Kings II
50,Crysis 2 Maximum Edition
51,DARK SOULS II
52,DARK SOULS II Scholar of the First Sin
53,Dark Souls Prepare to Die Edition
54,Darkest Dungeon
55,Darksiders II
56,Dead Island
57,Dear Esther
58,Deus Ex Game of the Year Edition
59,Dishonored
60,Divinity Original Sin
61,Divinity Original Sin Enhanced Edition
62,DmC Devil May Cry
63,Don't Starve
64,Dragon Age Origins - Ultimate Edition
65,Driver San Francisco
66,DuckTales Remastered
67,Dungeon Defenders
68,Dungeons of Dredmor
69,Dying Light
70,Endless Legend
71,Euro Truck Simulator 2
72,FTL Faster Than Light
73,Fallout
74,Fallout 4
75,Fallout New Vegas
76,Galactic Civilizations II Ultimate Edition
77,Goat Simulator
78,Gone Home
79,Guacamelee! Gold Edition
80,Gunpoint
81,Guns of Icarus Online
82,Hitman Absolution
83,Hotline Miami
84,Insurgency
85,Just Cause 2
86,Just Cause 2 Multiplayer Mod
87,Killing Floor 2
88,Kingdoms of Amalur Reckoning
89,LEGO MARVEL Super Heroes
90,Left 4 Dead
91,Legend of Grimrock
92,Legend of Grimrock 2
93,Little Inferno
94,METAL GEAR SOLID V GROUND ZEROES
95,METAL GEAR SOLID V THE PHANTOM PAIN
96,Machinarium
97,Magicka
98,Mark of the Ninja
99,Mass Effect 2
100,Metro 2033
101,Metro Last Light
102,Might & Magic Heroes VI
103,Monaco
104,Mortal Kombat X
